FID,country,area,location,site_code,site_name,old_site_codes,latitude,longitude,realm,province,ecoregion,lat_zone,programs,geom
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50e6,Australia,Tasmania,Kent Group,KG-S1,Erith Island North East,1101,-39.44,147.3,Temperate Australasia,Southeast Australian Shelf,Cape Howe,Temperate,"ATRC, RLS",POINT (147.3 -39.44)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50e5,Australia,Tasmania,Kent Group,KG-S4,Dover Island Isthmus,1104,-39.46,147.29,Temperate Australasia,Southeast Australian Shelf,Cape Howe,Temperate,"ATRC, RLS",POINT (147.29 -39.46)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50e4,Australia,Tasmania,Kent Group,KG-S17,Dover Island (West Coast),1117,-39.47,147.29,Temperate Australasia,Southeast Australian Shelf,Cape Howe,Temperate,"ATRC, RLS",POINT (147.29 -39.47)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50e3,Australia,Tasmania,Kent Group,KG-S10,Erith Island North,1110,-39.44,147.29,Temperate Australasia,Southeast Australian Shelf,Cape Howe,Temperate,ATRC,POINT (147.29 -39.44)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50e2,Australia,Tasmania,Kent Group,KG-S9,Erith Island North West,1109,-39.44,147.28,Temperate Australasia,Southeast Australian Shelf,Cape Howe,Temperate,ATRC,POINT (147.28 -39.44)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50e1,Australia,Tasmania,Tasmania - South,TAS145,Actaeon Island,1804,-43.53,147,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (147 -43.53)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50e0,Australia,Tasmania,Tasmania - South,TAS1,Southport (SE),ESOhon31_229,-43.46,147,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,RLS,POINT (147 -43.46)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50df,Australia,Tasmania,Tasmania - South,TAS131,Actaeon Island S2,1805,-43.53,146.99,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (146.99 -43.53)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50de,Australia,Tasmania,Tasmania - South,TAS2,Southport (SW),ESOhon32_230,-43.45,146.97,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,RLS,POINT (146.97 -43.45)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50dd,Australia,Tasmania,Tasmania - South,TAS124,Whale Head,2004,-43.63,146.87,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (146.87 -43.63)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50dc,Australia,Tasmania,Tasmania - South,TAS130,West of Surprise Bay,2001,-43.58,146.64,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (146.64 -43.58)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50db,Australia,Tasmania,Tasmania - South,TAS129,De Witt Island,2013,-43.59,146.38,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (146.38 -43.59)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50da,Australia,Tasmania,Tasmania - South,TAS90,Mewstone Rock,,-43.74,146.37,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,RLS,POINT (146.37 -43.74)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50d9,Australia,Tasmania,Tasmania - South,TAS92,De Witt Island North,,-43.59,146.36,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,RLS,POINT (146.36 -43.59)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50d8,Australia,Tasmania,Tasmania - South,TAS122,Maatsuyker Island,2012,-43.64,146.28,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (146.28 -43.64)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50d7,Australia,Tasmania,Tasmania - South,TAS110,Cox's Bight Outer,,-43.53,146.21,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,RLS,POINT (146.21 -43.53)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50d6,Australia,Tasmania,Tasmania - South,TAS111,Coxs Bight Central,,-43.52,146.21,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,RLS,POINT (146.21 -43.52)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50d5,Australia,Tasmania,Tasmania - South,TAS112,Coxs Bight Middle,,-43.52,146.21,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,RLS,POINT (146.21 -43.52)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50d4,Australia,Tasmania,Tasmania - South,TAS132,New Harbour,2011,-43.52,146.15,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (146.15 -43.52)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50d3,Australia,Tasmania,Tasmania - South,TAS133,Window Pane Bay,2009,-43.47,146.01,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (146.01 -43.47)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50d2,Australia,Tasmania,Port Davey,TAS138,Celery Top Island,1506,-43.37,146.14,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (146.14 -43.37)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50d1,Australia,Tasmania,Port Davey,TAS140,Eve Point,1505,-43.35,146.1,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (146.1 -43.35)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50d0,Australia,Tasmania,Port Davey,TAS141,Boat Crossing South,1504,-43.34,146.09,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (146.09 -43.34)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50cf,Australia,Tasmania,Port Davey,TAS149,Schooner Point,"BH-S2,1502",-43.34,146.01,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (146.01 -43.34)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50ce,Australia,Tasmania,Port Davey,PD-S4,Mutton Bird Island,1604,-43.42,145.97,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.97 -43.42)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50cd,Australia,Tasmania,Port Davey,PD-S21,Muttonbird Island South,1621,-43.42,145.97,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.97 -43.42)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50cc,Australia,Tasmania,Port Davey,TAS156,Phantom Rocks,1606,-43.29,145.96,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,ATRC,POINT (145.96 -43.29)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50cb,Australia,Tasmania,Port Davey,PD-S15,Shark Jaw,1615,-43.3,145.85,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.85 -43.3)
ep_site_list_public_data.fid-6e7a6257_1829d5a3a61_-50ca,Australia,Tasmania,Port Davey,PD-S13,"Shark Jaw Gulch, 10m",1613,-43.31,145.84,Temperate Australasia,Southeast Australian Shelf,Bassian,Temperate,"ATRC, RLS",POINT (145.84 -43.31)
