db,country,site,latitude,longitude
reefcheck,Southeast Asia,109.14.41E.12.10.50N,12.18055556,109.2447222
reefcheck,Southeast Asia,109.18.37.4E.12.10.55.2N,12.182,109.3103889
reefcheck,Southeast Asia,109.22.526E.12.18.286N,12.18286111,109.22525
reefcheck,Southeastern Caribbean,69.05.199W.12.13.089N,12.21813889,-69.08663889
reefcheck,Southeastern Caribbean,69.5.248W.12.13.116N,12.21861111,-69.08747222
reefcheck,Southeastern Caribbean,69.05.236W.12.13.121N,12.21861111,-69.08722222
reefcheck,Southeastern Caribbean,68.21.34.4W.12.13.10.1N,12.21947222,-68.35955556
reefcheck,Southeastern Caribbean,69.50.230W.12.13.19N,12.21988889,-69.08711111
reefcheck,Southeast Asia,109.19.27E.12.13.17N,12.22138889,109.3241667
reefcheck,Southeast Asia,109.18.05E.12.13.20N,12.22222222,109.3013889
reefcheck,Southeast Asia,109.14.34.5E.12.13.53.1N,12.23141667,109.2429167
reefcheck,Southeastern Caribbean,68.25.12.9W.12.15.41.5N,12.26152778,-68.42025
reefcheck,Southeastern Caribbean,12N68W1,12.26666667,-68.42222222
reefcheck,Southeast Asia,109.21.25E.12.16.22N,12.27277778,109.3569444
reefcheck,Southeast Asia,109.12.26.6E.12.16.27.4N,12.27427778,109.2073889
reefcheck,Southeastern Caribbean,69.8.42.35W.12.16.44.74N,12.27908333,-69.14511111
reefcheck,Southeast Asia,12N109E3,12.27916667,109.4941667
reefcheck,Southeastern Caribbean,69.08.697W.12.16.847N,12.28077778,-69.14494444
reefcheck,Southeast Asia,109.30.908E.12.16.938N,12.28230556,109.5151389
reefcheck,Southeast Asia,109.22.50E.12.17.01N,12.28361111,109.3805556
reefcheck,Southeast Asia,109.30.9.8E.12.16.9.3.8N,12.28438889,109.5188889
reefcheck,Southeast Asia,12N109E2,12.285,109.4997222
reefcheck,Southeast Asia,109.14.32.9E.12.17.14.9N,12.28747222,109.2424722
reefcheck,Philippines,121.21.44E.12.18.25.9N,12.30719444,121.3622222
reefcheck,Southeast Asia,109.23.3.5.9E.12.19.4.9.2N,12.31922222,109.38497220000001
reefcheck,Southeast Asia,109.29.376E.12.19.229N,12.32047222,109.4896111
reefcheck,Southeast Asia,109.18.28.8E.12.21.5.3N,12.35147222,109.308
reefcheck,Southeast Asia,109.29994E.12.36289N,12.36288889,109.2999444
reefcheck,Southeast Asia,109.30619E.12.3761N,12.37611111,109.3061944
reefcheck,Southeastern Caribbean,69.09.601W12.23.090N,12.38483333,-69.16002778
reefcheck,Southeast Asia,109.24.132E.12.28.760N,12.47933333,109.4022222
reefcheck,Southeast Asia,109.23.720E.12.29.831N,12.49722222,109.3953333
reefcheck,Southwestern Caribbean,81.43.991W.12.30.130N,12.50216667,-81.73319444
reefcheck,Southwestern Caribbean,81.43.57W12.30.2N,12.50333333,-81.72616667
reefcheck,Southeast Asia,100.57.600E.12.30.410N,12.50683333,100.96
reefcheck,Southeast Asia,100.57.400E.12.30.420N,12.507,100.9566667
reefcheck,Southwestern Caribbean,81.43.51W.12.30.59N,12.51638889,-81.73083333
reefcheck,Southwestern Caribbean,81.43.47W.12.31.3N,12.52166667,-81.7245
reefcheck,Southwestern Caribbean,81.44.007W.12.32.477N,12.54127778,-81.73345
reefcheck,Southwestern Caribbean,81.43.49W12.32.54N,12.54233333,-81.72483333
reefcheck,Southeast Asia,100.58.550E.12.32.870N,12.54783333,100.9758333
reefcheck,Southeast Asia,100.58.550E.12.32.900N,12.54833333,100.9758333
reefcheck,Southwestern Caribbean,81.42W.12.35N,12.58716667,-81.70733333
reefcheck,Southwestern Caribbean,81.42.37.9W.12.35.36.4N,12.59344444,-81.71052778
reefcheck,Southwestern Caribbean,81.42.40.5W.12.35.43.5N,12.59541667,-81.71125
reefcheck,Southeast Asia,109.21488E.12.62708N,12.62708333,109.2148889
reefcheck,Southeast Asia,109.21488E.12.6270N,12.62708333,109.2148889
reefcheck,Socotra Archipelago,12N54E1,12.67138889,54.19444444
reefcheck,Socotra Archipelago,54.11.587E.12.40.402N,12.67333333,54.19305556
reefcheck,Socotra Archipelago,54.04.576E.12.40.753N,12.67916667,54.07627778
reefcheck,Southeast Asia,100.40.5E.12.52N,12.87638889,100.675
reefcheck,Lesser Antilles,61.11.26W.12.53.7.2N,12.88533333,-61.19055556
reefcheck,Southeast Asia,100.40.14.78E.12.56.53.89N,12.94830556,100.6707778
reefcheck,Southeast Asia,100.39.200E.12.57.680N,12.96133333,100.6533333
reefcheck,Southeast Asia,100.40.460E.12.57.970N,12.96616667,100.6743333
reefcheck,Lesser Antilles,59.32.462W.13.03.292N,13.055,-59.54111111
reefcheck,Lesser Antilles,NSMaxwell,13.06297222,-59.56
reefcheck,Lesser Antilles,59.36.207W.13.04.392N,13.07333333,-59.60333333
reefcheck,Lesser Antilles,0N0W3,13.075,-59.62097222
reefcheck,Lesser Antilles,59.36.85W.13.04.98N,13.08305556,-59.61416667
reefcheck,Lesser Antilles,59.36.45.3W.13.5.8.8N,13.08577778,-59.61258333
reefcheck,Lesser Antilles,59.36.20.7W.13.5.39.2N,13.09058333,-59.61311111
reefcheck,Lesser Antilles,59.38.26W.13.07.51N,13.12516667,-59.63766667
reefcheck,Lesser Antilles,59.38.02W.13.7.51N,13.12516667,-59.63366667
reefcheck,Lesser Antilles,0N0W7,13.13583333,-59.64
reefcheck,Lesser Antilles,13N59W3,13.13583333,-59.63888889
reefcheck,Lesser Antilles,59.38.12W.13.10.72N,13.17852778,-59.64033333
reefcheck,Lesser Antilles,59.38.48W.13.10.78N,13.17966667,-59.64133333
reefcheck,Lesser Antilles,59.38W.13.11N,13.18341667,-59.64006944
reefcheck,Lesser Antilles,59W13N,13.18433333,-59.65866667
reefcheck,Lesser Antilles,59W.13N,13.18433333,-59.65866667
reefcheck,Lesser Antilles,NSTropicana,13.21911111,-59.64358333
reefcheck,Lesser Antilles,13N59W2,13.22555556,-59.64527778
reefcheck,Mariana Islands,144.38.26.8E.13.20.10.6N,13.33627778,144.6407778
reefcheck,Mariana Islands,144.38.44E.13.20.21N,13.33916667,144.6455556
reefcheck,Southwestern Caribbean,81.23.32.9W.13.21.31.8N,13.35883333,-81.39247222
reefcheck,Southwestern Caribbean,81.23.32.88W.13.21.31.78N,13.36502778,-81.40477778
reefcheck,Southwestern Caribbean,81.22.36.67W.13.22.53.16N,13.38143333,-81.37685278
reefcheck,Southwestern Caribbean,81.23.642W.13.23.816N,13.39694444,-81.39402778
reefcheck,Mariana Islands,13N144E5,13.44491667,144.6436389
reefcheck,Mariana Islands,144.39.27E.13.27.2N,13.45416667,144.6545
reefcheck,Mariana Islands,144.49.88E.13.35.8N,13.598,144.8313333
reefcheck,Lesser Antilles,13N59W1,13.64527778,-59.13583333
reefcheck,Lesser Antilles,60.56.7.4W.13.43.13.8N,13.7205,-60.93538889
reefcheck,Lesser Antilles,61.04.29W.13.48.93N,13.8155,-61.0715
reefcheck,Lesser Antilles,61.3.9W.13.50.3N,13.83833333,-61.065
reefcheck,Lesser Antilles,61.3.9W.13.50.34N,13.839,-61.065
reefcheck,Lesser Antilles,61.4.48W.13.51.45N,13.8575,-61.07466667
reefcheck,Lesser Antilles,61.04W.13.51.5N,13.85833333,-61.06666667
reefcheck,Lesser Antilles,61.4.51E.13.51.51N,13.8585,-61.07516667
