"","lat","lon"
"1",25.98043,-77.36043
"2",26.0405,-77.46168
"3",25.91728,-77.27684
"4",25.91774,-77.2835
"5",25.97133,-77.35384
"6",25.99674,-77.40301
"7",25.97225,-77.3326
"8",25.95932,-77.30853
"9",25.97219,-77.34255
"10",25.97863,-77.35304
"11",25.96183,-77.32912
"12",25.98963,-77.38012
"13",26.10125,-77.5494
"14",25.9044,-77.25808
"15",25.91722,-77.28371
"16",25.91718,-77.27645
"17",26.04142,-77.46175
"18",26.05224,-77.4878
"19",26.07751,-77.5363
"20",25.99628,-77.40295
"21",25.99618,-77.40138
"22",26.02324,-77.4455
"23",22.70538,-73.81745
"24",22.7492,-73.86005
"25",22.7537,-74.05578
"26",25.22997,-78.03657
"27",23.56202,-77.32854
"28",23.55205,-77.33203
"29",23.58253,-77.33286
"30",23.58235,-77.33286
"31",23.60288,-77.34055
"32",23.67619,-77.37133
"33",23.72853,-77.39325
"34",23.7803,-77.4168
"35",24.03138,-77.50494
"36",24.92052,-77.8868
"37",24.94377,-77.8968
"38",24.89315,-77.87572
"39",24.8828,-77.87837
"40",24.76672,-77.79828
"41",25.31573,-78.0767
"42",24.76113,-77.79335
"43",25.24037,-78.03217
"44",24.84352,-77.85643
"45",25.35703,-78.10593
"46",25.34093,-78.09332
"47",25.22235,-78.03273
"48",24.14992,-77.55723
"49",24.8797,-77.87822
"50",25.26412,-78.05293
"51",23.78712,-77.41822
"52",23.87135,-77.45748
"53",24.78162,-77.80782
"54",25.31377,-78.08288
"55",24.74558,-77.7797
"56",24.0997,-77.5334
"57",25.24977,-78.04247
"58",24.4393,-77.6962
"59",23.94606,-77.4841
"60",25.39295,-78.12938
"61",24.74547,-77.7822
"62",24.7045,-77.75105
"63",24.71256,-77.74769
"64",24.71337,-77.75283
"65",24.71294,-77.75221
"66",24.71802,-77.76105
"67",24.72222,-77.76082
"68",24.702,-77.73993
"69",24.72684,-77.76393
"70",24.73338,-77.76293
"71",24.74589,-77.77978
"72",24.71893,-77.76985
"73",24.70046,-77.74223
"74",24.63141,-77.6918
"75",24.62878,-77.69392
"76",24.77186,-77.80107
"77",24.77331,-77.80719
"78",24.52131,-77.69566
"79",24.48362,-77.69941
"80",24.50677,-77.7092
"81",24.48952,-77.71285
"82",24.52161,-77.69156
"83",24.48436,-77.69702
"84",24.42067,-77.69647
"85",24.33794,-77.67061
"86",24.31098,-77.65576
"87",24.3345,-77.68551
"88",24.3444,-77.67515
"89",24.33535,-77.66657
"90",24.31187,-77.65392
"91",24.34761,-77.67262
"92",24.25469,-77.62375
"93",24.24241,-77.62036
"94",24.2345,-77.61685
"95",24.19692,-77.58539
"96",24.21819,-77.59741
"97",24.23294,-77.60732
"98",25.30747,-78.07867
"99",24.8635,-77.87303
"100",24.5402,-77.6821
"101",25.24057,-78.0422
"102",25.39198,-77.82326
"103",25.39158,-77.82007
"104",25.4329,-78.00849
"105",23.49395,-79.8853
"106",23.55521,-79.57055
"107",23.58089,-79.59282
"108",23.59069,-79.60298
"109",23.60639,-79.61355
"110",23.86417,-79.80456
"111",23.68629,-80.40205
"112",23.42404,-79.5746
"113",23.43012,-79.65046
"114",23.74519,-79.68191
"115",23.69257,-79.65529
"116",23.6493,-79.61062
"117",23.9587,-79.79111
"118",23.99049,-79.80727
"119",23.64939,-80.18733
"120",23.89696,-79.80958
"121",23.83794,-79.74358
"122",23.81405,-79.72993
"123",23.88732,-79.76373
"124",24.04664,-80.11508
"125",24.01154,-79.80262
"126",24.01195,-79.81213
"127",24.03841,-79.95461
"128",24.04608,-79.9605
"129",23.96898,-80.38522
"130",24.00787,-80.30127
"131",23.91085,-80.4868
"132",23.93244,-80.47313
"133",23.95722,-80.44592
"134",23.92997,-80.47625
"135",23.85814,-80.49263
"136",23.78584,-80.27232
"137",23.7223,-79.95085
"138",23.77863,-80.47765
"139",23.79921,-80.47932
"140",23.81126,-80.47852
"141",23.49485,-79.89154
"142",23.48346,-79.85194
