id,Latitude,Longitude,crs,SOVEREIGN1,TERRITORY1,ECO_CODE,ECOREGION,REALM
16681,25.24414,54.197230000000005,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16683,25.54342629,55.59221263,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16678,24.598580279999993,54.42014881,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16760,24.629220000000004,54.2503,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16764,25.989909150000006,56.06551724,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16765,24.847596320000008,54.69025958,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16766,24.598580279999993,54.42014881,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16767,25.258739999999992,54.20809,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16768,25.21504,54.222649999999994,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16769,25.24414,54.197230000000005,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16771,25.54342629,55.59221263,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16772,24.365499919999994,54.10079998,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17020,24.8481,54.69033,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17030,24.8481,54.69033,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17031,24.59908,54.42148,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17033,24.66865,53.063629999999996,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17034,24.52082,52.27828,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17035,24.6707,51.81147,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17036,24.22103,51.9957,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17037,24.09055,52.151070000000004,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17038,24.08478,52.24342,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17032,24.407070000000004,53.203520000000005,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17039,24.407070000000004,53.203520000000005,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17040,24.08478,52.24342,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17041,24.22103,51.9957,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17042,24.66865,53.063629999999996,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17043,24.52082,52.27828,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17044,24.365499919999994,54.10079998,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17045,24.09055,52.151070000000004,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17046,24.6707,51.81147,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17047,24.8481,54.69033,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
17048,24.59908,54.42148,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
21315,24.40647511,53.20405377000001,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
21318,24.629220000000004,54.2503,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
21319,24.365499919999994,54.10079998,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
21323,25.9852,56.06190000000001,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
21324,24.847596320000008,54.69025958,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
21325,24.598580279999993,54.42014881,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
21326,25.258739999999992,54.20809,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
21327,25.21504,54.222649999999994,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
21328,25.24414,54.197230000000005,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
21330,25.54342629,55.59221263,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
21417,24.356320000000004,54.02947,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
44188,24.520800000000005,52.27810000000001,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
45267,24.40647511,53.20405377000001,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
45269,24.356320000000004,54.02947,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
45271,24.520800000000005,52.27810000000001,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
45272,24.629220000000004,54.2503,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
45273,24.365499919999994,54.10079998,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
45280,25.9852,56.06190000000001,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
45281,24.847596320000008,54.69025958,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
45282,24.598580279999993,54.42014881,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
45283,25.258739999999992,54.20809,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
45284,25.21504,54.222649999999994,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
45285,25.24414,54.197230000000005,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
45288,25.54342629,55.59221263,4326,United Arab Emirates,United Arab Emirates,20090,Arabian (Persian) Gulf,Western Indo-Pacific
21314,28.815878,48.775088,4326,Kuwait,Kuwait,20090,Arabian (Persian) Gulf,Western Indo-Pacific
23232,28.815,48.775,4326,Kuwait,Kuwait,20090,Arabian (Persian) Gulf,Western Indo-Pacific
43530,28.815,48.775,4326,Kuwait,Kuwait,20090,Arabian (Persian) Gulf,Western Indo-Pacific
45279,28.815,48.775,4326,Kuwait,Kuwait,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16943,26.241663,56.197179,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16944,26.37685142,56.41487916,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16938,26.241663,56.197179,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16976,26.241663,56.197179,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16978,26.37685142,56.41487916,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16953,26.241663,56.197179,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16954,26.376851,56.414879,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16977,26.241663,56.197179,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16989,26.37685142,56.41487916,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16988,26.241663,56.197179,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16669,26.241663,56.197179,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16671,26.37685142,56.41487916,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16675,26.376851,56.414879,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16758,26.241663,56.197179,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
16763,26.376851,56.414879,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
21316,26.241663,56.197179,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
21322,26.376851,56.414879,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
21317,26.37685142,56.41487916,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
45268,26.241663,56.197179,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
45270,26.37685142,56.41487916,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
45278,26.376851,56.414879,4326,Oman,Oman,20090,Arabian (Persian) Gulf,Western Indo-Pacific
15336,-10.34,132.74,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15349,-10.3333,132.72,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15350,-10.334299999999997,132.7522,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15351,-10.3459,132.72753,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15352,-10.3255,132.7042,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15353,-10.34,132.74,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16869,-13.969517999999999,136.357434,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16870,-13.821258,136.348935,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16871,-13.6015,136.240005,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16872,-13.629147,136.42021,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15891,-12.226312440000003,136.7106747,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15892,-12.22345105,136.7125657,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
16873,-13.828400000000004,136.410996,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15893,-12.21877253,136.7136207,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15894,-12.21237548,136.7193435,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15895,-12.21123872,136.719138,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15896,-12.211663050000002,136.71902330000003,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15897,-12.20484049,136.7113453,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15898,-12.2031667,136.7105959,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15899,-12.20694971,136.7113248,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15900,-12.20576073,136.7117871,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15901,-12.206848410000003,136.7160023,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15902,-12.218373389999996,136.714248,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15903,-12.2043123,136.7139777,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15904,-12.22030523,136.7405391,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15905,-12.22393936,136.7435025,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15906,-12.22095304,136.7361969,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15907,-12.21864615,136.7445325,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15908,-12.220183000000004,136.7418268,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15909,-12.222494799999998,136.7402429,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15910,-12.22222394,136.7443904,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15911,-12.2208652,136.7409519,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
15912,-12.2207472,136.7370889,4326,Australia,Australia,20140,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific
