db,n,percent
gcrmn,1738,0.267590454195535
mermaid,1644,0.2531177829099307
reef_check,1304,0.20076982294072362
darling_etal_2019,906,0.1394919168591224
reef_life,506,0.07790608160123172
uq_photoquadrat,374,0.05758275596612779
nat_geo,13,0.0020015396458814474
romero_torres_etal_2020,10,0.001539645881447267
